V_fL,S_site_nM,Nc_molecules,C_total_nM,M_loci,site_copies,total_site_nM,ratio_copies_per_cas9,d_on_max_pp,d_on_final_pp,t10_delay_pct,t50_delay_pct,t90_delay_pct,depletion_max_pct,dur_gt5pct_depl_s,t50_A_s,t50_B_s,on_B_final,on_A_final
250,0.013284312537390774,30,0.19926468806086162,30000,60000,398.5293761217232,2000.0,52.53839912873597,0.0,381.3622262015305,381.94265648112,375.5996680234293,79.38249234238708,31622775.026939977,43827.260963129054,211222.26574861706,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,10,20,0.13284312537390774,0.2,0.11074662815430125,0.0,0.10954816446798836,0.07207454549240502,-0.4324369595798834,0.12075786384883047,0.0,13162.211424449393,13171.698028510315,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,30,60,0.39852937612172323,0.6,0.09021946146271498,0.0,0.2875861894246432,0.25251196211410626,-0.2203728032517594,0.30589130642885154,0.0,13162.211424449393,13195.447582774877,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,100,200,1.3284312537390774,2.0,0.4311629601280953,0.0,1.1341668621430812,1.1813918702407655,0.8619337001735924,1.2667750046766901,0.0,13162.211424449393,13317.70872016174,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,300,600,3.9852937612172323,6.0,1.3721053018153628,0.0,3.5013635843664064,3.7216809719729613,3.7191990198378906,3.823554365803805,0.0,13162.211424449393,13652.066942523978,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,1000,2000,13.284312537390774,20.0,4.393289156484482,0.0,11.586936016135864,12.697080585438906,12.139853431958583,11.525874812394255,31622714.393350407,13162.211424449393,14833.428015837579,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,3000,6000,39.85293761217232,60.0,11.580705003529367,0.0,34.60443239365373,37.32855279748071,36.31953509233766,27.552484587112346,31622759.42160952,13162.211424449393,18075.474465341023,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,10000,20000,132.84312537390772,200.0,28.92344292017368,0.0,119.02797187176878,124.00434053178813,123.668849219319,55.80287342138328,31622771.857063003,13162.211424449393,29483.92490073754,1.0,1.0
250,0.013284312537390774,100,0.6642156268695387,30000,60000,398.5293761217232,600.0,52.30055936576306,0.0,372.057276859178,379.3864980378564,375.8306012609543,79.33438823494795,31622775.026939977,13162.211424449393,63097.8644120066,1.0,1.0
250,0.013284312537390774,300,1.9926468806086157,10,20,0.13284312537390774,0.06666666666666667,0.11117210733572191,0.0,0.0901042765073734,0.06657828560653525,-0.43128123559506387,0.11822400067854621,0.0,4391.322744834698,4394.246412233659,1.0,1.0
250,0.013284312537390774,300,1.9926468806086157,30,60,0.39852937612172323,0.2,0.09081554867945707,0.0,0.2503546368130507,0.2422308084173327,-0.22478694375466968,0.30129002870712407,0.0,4391.322744834698,4401.959881419725,1.0,1.0
