panel,M,C,on_A_final,on_B_final,off_A_final,off_B_final,d_on_max_pp,d_on_final_pp,d_off_max_pp,d_off_final_pp,spec_A_final,spec_B_final,spec_pct_final,spec_log2_final,depletion_pct,sequestration_pct,min_Cfree,timing_pct,spearman_off,ranking_inversions,nan_inf,min_cleaved,gpu,gpu_time_s,flag_on_1pp,flag_on_5pp,flag_spec,flag_depletion,flag_timing,flag_ranking
CONTROLLED_STRESS,10,100.0,1.0,1.0,0.7249815276015039,0.7249758134256007,0.00577133739581015,0.0,0.0011709243012192339,-0.0005714175903226426,1.379345489404365,1.3793563612467243,0.0007881884881465158,1.1371111418464747e-05,0.021576372306952862,0.021576455604628682,99.97842362769305,0.011124994118227368,1.0,0,False,-6.84039225542905e-16,True,47.372546434402466,False,False,False,False,False,False
CONTROLLED_STRESS,100,0.1,0.9997217270025255,0.9997150639602649,0.5343941763938322,0.5342864834857072,0.12443566568601794,-0.000666304226060177,0.061775444635620014,-0.010769290812506771,1.870757151110663,1.87112175744408,0.019489773603173378,0.0002811506003356407,0.3695547557511669,0.369555982305388,0.09963044524424884,0.35208980164063713,1.0,0,False,-3.26913290514563e-11,True,48.80043959617615,False,False,False,False,False,False
CONTROLLED_STRESS,100,0.3,1.0,1.0,0.5740670247195986,0.5739850430112875,0.12389486487814905,0.0,0.06149599905128644,-0.00819817083110852,1.7419568742634282,1.7422056762175817,0.01428289975655199,0.00020604397230623123,0.36540509126329335,0.3654078646253227,0.2989037847262101,0.34720516916714317,0.9998021026592455,0,False,-1.3214516013159035e-10,True,47.443498373031616,False,False,False,False,False,False
CONTROLLED_STRESS,100,1.0,1.0,1.0,0.6067455546117507,0.6066921516795111,0.12187247399537693,0.0,0.060460659672739725,-0.005340293223965453,1.6481373326883952,1.6482824068682003,0.008802311368573762,0.0001269849208759176,0.3552453301316927,0.3552503521788402,0.9964475466986831,0.33265410294876885,0.9959678416821274,0,False,-5.188340392172907e-10,True,47.82825255393982,False,False,False,False,False,False
CONTROLLED_STRESS,100,3.0,1.0,1.0,0.6375290764839739,0.637459196970868,0.11652557650946305,0.0,0.057722060560777555,-0.006987951310599705,1.5685559088747998,1.5687278570147158,0.01096219388439224,0.00015814235976503347,0.33765084674423074,0.3376581859527678,2.989870474597673,0.3122612711836149,0.9847124304267162,0,False,-1.5770215159161729e-09,True,47.97595548629761,False,False,False,False,False,False
CONTROLLED_STRESS,100,10.0,1.0,1.0,0.6853745114222088,0.6853084541467551,0.10328400549575179,0.0,0.05076118069191615,-0.006605727545372364,1.4590563018216978,1.4591969410965362,0.009639057427923575,0.00013905550178891767,0.30352904637677147,0.3035373472791724,9.969647095362323,0.28574819365924364,0.9703277674706247,0,False,-4.662136924763153e-09,True,48.221447229385376,False,False,False,False,False,False
CONTROLLED_STRESS,100,30.0,1.0,1.0,0.7250608696230529,0.7250247837433104,0.08071253744299511,0.0,0.03837826972628022,-0.00360858797425756,1.3791945502706608,1.3792631954394863,0.004977192580402152,7.180392363815713e-05,0.25037754820401714,0.2503853442176566,29.924886735538795,0.20311199420302833,1.0,0,False,-1.02726100989168e-08,True,48.07446527481079,False,False,False,False,False,False
CONTROLLED_STRESS,100,100.0,1.0,1.0,0.7534987703800496,0.7534866690594064,0.047331191529054184,0.0,0.020480814839057837,-0.001210132064322078,1.3271421790035476,1.327163493478915,0.001606043098060412,2.3170118069823497e-05,0.16700014839422517,0.16700423025957842,99.83299985160578,0.09564919130272957,1.0,0,False,-2.4721183083434392e-08,True,47.118176221847534,False,False,False,False,False,False
CONTROLLED_STRESS,1000,0.1,0.9997217270025255,0.9996293718810977,0.5325836543577077,0.5311867300342323,1.6260735539327054,-0.009235512142780067,0.7970986707999783,-0.13969243234753792,1.8771168037560335,1.8818794133181653,0.25371940374725166,0.003655761526098639,4.717812448114211,4.717812448126522,0.09528218755188579,4.620333492334477,0.9999975807470798,0,False,-4.534920130443754e-11,True,48.45776867866516,True,False,False,False,False,False
CONTROLLED_STRESS,1000,0.3,1.0,1.0,0.5714350381181732,0.5704947506724649,1.6133776809275635,0.0,0.7901601727618168,-0.09402874457082877,1.7499801959841483,1.7528645072009994,0.16481964901479054,0.002375887475458388,4.651452212704443,4.651452212707057,0.28604564336188665,4.541818231426499,0.9876160609507303,0,False,-1.4132633461682722e-10,True,52.372870445251465,True,False,False,False,False,False
CONTROLLED_STRESS,1000,1.0,1.0,1.0,0.604667038759618,0.6040605161148063,1.568409424546502,0.0,0.7675607856241495,-0.06065226448117578,1.6538027309206291,1.6554632744913376,0.10040759636326477,0.0014478486599687436,4.47701828207856,4.477018282169484,0.9552298171792144,4.299660612956399,0.9997923895839728,0,False,-5.255622490397308e-10,True,52.031607151031494,True,False,False,False,False,False
CONTROLLED_STRESS,1000,3.0,1.0,1.0,0.6361408449344524,0.6353783704572534,1.4609788279293934,0.0,0.7136570618894111,-0.07624744771990155,1.5719789225316407,1.5738653477907516,0.12000321582376045,0.0017302424778060713,4.144614046203554,4.144614046576115,2.8756615786138933,3.9993699777881857,0.999076603657766,0,False,-1.5429303689935656e-09,True,50.96021223068237,True,False,False,False,False,False
